0	11.675449373562907	7.520845166301385 92.29634495919976	8.043599587977855 11.691206652949	53.9519030401253 95.26068534096505	54.23705760438982 47.33474145681679	90.69916475598284
1000	10.603154165452231	9.487385440596732 77.5784982989713	11.732362994610254 14.954477159132056	55.86084762282981 90.45889744819375	56.15024420545322 49.11634604675498	90.80211768192797
2000	13.174071665338099	10.030245336134085 75.07499498084772	12.15244550076037 15.300095355336047	55.99455928084838 90.54376419955291	58.06803254719406 48.784863371331454	89.85473630082984
3000	13.403215001237887	10.269606909875543 72.3950759772266	11.988986329039028 16.245612989387986	56.148799218290016 89.10097981135394	57.31142215169907 49.82324309643729	89.34670635874315
4000	13.106525487473688	10.513658095685084 70.29072981473615	11.870201152977334 16.57549607175283	56.47364501888794 88.72024347388569	57.108450299461836 50.97259213212074	88.25425973234277
5000	13.998580954254118	11.457300453621622 66.39583513392586	11.529286515818574 16.460152597751446	56.20774859178552 87.75224767254599	57.0485797991478 50.6649496011229	87.87344315782293
6000	14.416751035204369	11.048070608390901 63.95916752704547	11.318345385387667 17.111637813653296	56.35382920933493 87.07712913343828	56.64082096307274 48.95710835166925	88.45307453981896
7000	14.637622897018746	10.537691126274519 61.457031251153786	11.982394660409906 16.521029278753854	55.755561460603566 87.18787487255071	56.57209496379351 49.5756763415914	88.18805906907603
8000	14.786549938769578	10.637102462634454 59.36485572533656	11.730963517532365 16.046656220573357	56.55950038989727 87.26145584013808	57.19222079247936 48.80586090735745	87.50562547858654
9000	14.963737115446058	10.483594589999013 58.777131933139756	11.697942199023775 16.81270453409852	56.33867752557937 86.88628107409187	56.95215867009668 48.82927056395172	87.14647196148007
10000	14.04249904058964	10.938507976810806 57.165198650084285	11.726259633082707 16.66951626347953	56.324309996291845 87.1586154311192	56.872010432949644 49.66462741556094	87.18796519543652
11000	13.801266175452543	12.052139825834193 55.67213238726107	11.412662100474213 16.607157718376374	56.86097438317822 87.27960954330476	56.91578784498719 49.15274036233355	87.33592584792319
12000	11.971912621320287	12.5560771548974 52.8689436143834	11.527335559646444 17.68845592820409	55.91219488022011 87.03811076993513	56.026111826383804 50.22930130886911	87.65749263030727
13000	10.865354890236182	11.99572972377402 51.482212038614435	11.772034997342091 18.265275505825407	56.67945452616292 87.17034343049959	56.378855455825146 50.37679048179181	87.5441913628547
14000	10.467488399309703	11.973561015778705 51.597044552651695	11.736724865971585 18.581064034818635	56.40061654348632 86.7327927342053	56.84130700987111 49.919020736796526	87.59965980577819
15000	9.55654022691098	12.596568320816752 51.349504252451304	11.83162338843601 18.62611543124174	56.07399437695809 86.93832912113687	57.12054381123411 50.724764277667816	87.97605552253528
16000	9.251713405673542	13.160126439129584 50.55483690041027	11.902076209237368 18.6054788972595	55.68523556754652 86.56067135803772	57.95724391460951 49.877255933032245	87.19270629430692
17000	9.04389902518639	13.030369910108066 48.768935019226554	11.530188373893978 19.67114727907334	54.456464751101954 86.78409074121949	57.190750858448325 50.19815489278795	86.80354291013307
18000	8.820397156277084	12.62484313821199 48.72134754697095	11.151648469147954 19.555282212089345	55.01495685076439 87.06974006116783	56.707673414930795 51.228938743440835	87.00385268151645
19000	9.44521556820029	13.644509203298556 48.274689277909125	10.922838301141713 19.45643823208297	55.39063370386461 86.97095325955324	57.3642329506847 51.384064563171215	86.99151211009489
20000	9.34853750708096	13.791878280052824 47.71396288279124	10.999799217041046 19.845119433546532	54.694136244584705 86.94279207140285	55.93026050168253 51.649345820821196	86.70782575469272
21000	8.917536658890883	13.849210573006689 47.960727922948166	11.043152233544966 19.64013091393027	55.053469492528905 86.59401426702992	56.793584270616634 51.85068105932451	86.86625705375317
22000	9.047339640480638	14.076045574222682 46.66570619329406	11.112049670185922 19.781522979982768	55.07189864873408 86.30538998843076	55.900179146447925 51.46555234996058	87.02752283951831
23000	9.345661097184454	14.557678803064787 45.858615296855334	11.118849989212123 18.8928031224042	56.09907592781533 86.53452116931379	55.790924511261736 51.29177924556577	86.65213908966186
24000	9.427305081458668	15.170239214229326 45.374833971009025	11.44042183531212 18.338511051982263	55.878534464282325 86.49769529011779	56.260012651403144 51.13156437316107	85.99198400538886
25000	9.437129632308466	14.710918558517541 46.05592575967523	11.341084757959337 17.775384247777613	56.09078672941279 87.20661330499284	55.91327585580927 52.036083341821815	85.80954981289408
26000	9.18972785690798	14.719162467968827 46.92330122041049	11.240960816488727 17.943407680809468	56.33837626179173 86.55065554456581	55.16617235624239 53.18925183347407	85.621728459164
27000	8.083154106633305	14.88026511157442 46.86129109721277	11.236887594824726 18.492624077064843	54.84159666428715 86.8537562221601	54.59878947941597 52.21094787257626	85.98292337414388
28000	7.823767197377362	14.288642939960672 45.99171149618639	11.419448092487475 18.456417408787125	53.61040178407641 86.66168132849968	54.25083807547365 52.84883541876622	86.60394085402402
29000	7.89057412794515	15.827807754443025 45.026675665691535	11.29108518228209 18.58174106551076	52.83732729432513 86.37528062546059	53.456161619061454 53.29304506587057	87.03562841995051
30000	7.648502385755478	16.202768556101905 44.93118571091234	11.027013246784437 18.129085782688207	52.2069216339801 86.58296790323116	54.70775617938866 51.82314195289715	86.20687854959083
31000	7.354740301474565	17.657130674022447 44.39393451847532	10.804085900492606 18.562971934590447	52.30572705275516 86.0618502096278	54.56505090650663 51.07447531904638	86.45499502480571
