0	12.556150887428077	10.138827596147348 84.21233418908287	4.995045718953221 11.93692306886233	60.30436962584006 89.38692981369572	52.678288792354266 53.85070001218676	90.58626609836884
1000	16.866732609199268	12.601710394902254 80.05520778076556	14.542992306549149 23.430747185449512	60.639734869742 86.58009486977225	60.60476609534969 54.278001016035546	87.40881454362392
2000	16.68519759563734	13.738529965579685 76.62036357737414	15.867693697566855 22.713659626980686	61.46832964946577 86.6635091708875	60.737779391885745 55.27573518421407	85.72050608042527
3000	19.054185197198272	14.231736184388557 74.87617140254909	15.870856204115613 23.930700417946955	62.454991877293246 86.13048406067436	60.90766927415967 55.08226270714776	84.38511466976168
4000	18.108978606358804	16.0536007191468 73.12697123004506	15.607007710473482 24.34145188477663	63.39155813090347 86.02313257980637	60.42794828784051 55.034791509309635	84.4469871605806
5000	17.794248531777114	16.735495948614055 70.56915559788852	15.75776734486768 23.396224378321612	63.54873283617741 85.21069658245179	60.230204200318184 54.81693601993288	83.34974608726161
6000	16.952158041756974	17.45255679966791 68.96128615748044	16.146128258116097 22.74968111388473	63.632468374729726 84.94535304419108	61.049470195545204 55.03291652013645	83.37822181346552
7000	17.087560078398983	18.134295405162636 67.78713350226316	16.275516308323787 22.088972074821626	64.11812880421358 84.74028319934797	61.2024486603212 55.18683307487318	82.82212642263107
8000	17.403163919398786	19.79424010937597 66.14810520189559	16.063764740355982 21.509772172832285	63.29336379022483 83.57874725548682	62.02690594923833 54.40322196758611	82.83990586763075
9000	19.073645862092995	21.02867386064314 64.4301552974724	15.31198533754951 20.73126601275835	63.67738403621736 84.0528060463687	62.57534585463849 54.720543880500934	82.06401704663803
10000	19.854211939907028	20.104263577352683 63.67105819817187	14.580838426905629 20.205189993468053	64.61836247731699 84.18619003299894	62.30541088057535 53.91580108505258	81.82005078479747
11000	19.011558043657562	20.531915384988086 61.98023203172925	15.037208012828524 20.69285235316574	64.29528201426557 83.59575145137309	62.73744223961753 54.41837114567954	82.03548320953595
12000	20.404068644984868	19.755845821319014 60.83864599022618	15.343008632453158 20.53275394403154	63.194829923296275 83.70206348577187	63.31753812823531 54.03394267772145	81.61967612739133
13000	19.057787597075038	20.411347802528187 59.7905099109414	15.924703644885785 19.72036057406459	63.51845067877784 83.85997797577478	62.36404237734456 54.547074900623244	81.8331263173273
14000	18.445908947033026	21.05575403691165 57.721952956481054	15.706396419381694 19.131835585401824	63.531592682424474 83.78262151817187	62.32503467384767 55.106091612168136	81.30371545823036
15000	19.214497851016887	21.217757201592047 55.77648616717929	15.103723730235668 18.39011212098286	63.50582054263921 84.7903519321386	62.95049080996934 55.33531607865229	81.56619123999754
16000	18.49099261945501	19.78210211091597 54.540597837790116	15.144365145499204 18.90285999576358	63.801388205393316 84.77565971609826	63.32557494993 54.97361489767489	81.38297611283774
