0	36.85718096540153	49.78662667759902	61.00351143000047	39.22218688776678	48.16976272236985	61.64274216695439	72.75665073322416	81.03279229272499	96.32027483126102	75.18056403584657	87.775164365019	100.0
1000	37.81031706654861	50.054721830032946	61.37167825513598	38.91220516135814	46.85312382903589	57.2250641277313	76.229747137853	85.84520409819595	96.54718176629142	75.35521671545176	85.38109515636083	95.69808564086466
2000	38.02235829147957	50.27212414251795	60.77774671636068	38.659685768638816	47.059251397807	57.32232112583513	74.70611292334185	84.72150973822389	94.98706196134674	72.69676670266173	82.63203320788534	93.37252302520805
3000	37.90728929587792	50.13194009884161	60.35367667845353	37.9776721299091	46.83876108103774	57.56385795033745	73.23969978402872	82.90456974707047	93.22802877172705	71.53195665835393	81.94412264316244	93.24141872122132
4000	37.96758238433155	50.054721830032946	60.33247554558766	37.588273458600064	46.90803157043317	57.83827634664509	72.79078558236226	82.30254308859938	92.69822040081112	71.10606531823888	81.6375178814874	92.4697055381636
5000	38.03749452080937	49.76474277461098	60.399450757468585	36.94793762760048	46.96273614664594	57.59850414687213	72.1367761726608	82.0049312992048	92.47019053188305	70.7488356133016	81.24754021551479	92.26602408611328
6000	37.90728929587792	49.56640968465406	60.05127914770257	36.75570607535364	47.114759533651565	57.554793632726394	71.89121432586867	81.75709724413974	92.16115454893031	70.05848486153216	80.96871762713926	91.70044727348548
7000	37.287236585758535	47.16393070561427	57.93646017875425	36.56420567641114	47.1591484879571	57.431157639945674	69.52169098074793	78.47745696471807	87.91579263630732	65.46430492703244	76.01871720197954	87.35353614587305
8000	36.087203394760415	46.21046938291382	58.487678503327665	36.75593646284482	47.09711538421369	57.019840400314365	68.68067010814063	76.98680488943684	86.70834952921366	65.06334971242072	74.80094208653779	85.44487457197489
9000	35.399846135353926	45.34269977696768	56.79771356441458	35.76727718996719	46.4808759782816	55.75153499330955	65.29779193892189	74.2374608258213	85.09868425891943	62.82556898914218	73.20853118791555	81.80296646378798
10000	34.198182173383714	44.100292741527035	53.28639486500525	34.637767251304396	45.50199909333083	55.944040792951796	62.130923555477786	71.55863029218895	82.54626179749371	59.93098799142655	70.19852873397562	79.06984613639074
11000	31.683283086423785	42.096800990048024	50.54212023086889	33.86395827627844	44.71916875331844	55.69165051522161	59.76310079694607	68.87742510925105	80.33840257920104	57.97261527239681	67.94219407876852	77.54248948967489
12000	31.302750925786775	40.72937544935322	49.8846625784053	32.2183008237793	42.74436316715888	53.50784880102494	57.69094063793993	67.13854231371062	77.44582096950299	56.57475291170709	66.46795020935775	77.1954334120794
13000	30.570091508302216	39.744079088238045	48.467724387969156	31.49011231399843	41.76810526646861	51.94309856999658	56.65381472388087	67.27416792959721	77.45480681687546	55.80512134285736	64.71796555255915	75.20706034596063
14000	28.690518571078865	38.035689588817576	46.187326642785415	30.55074537500986	41.17621821617892	51.77002918820641	55.65628507710909	65.96326513249733	76.67086837890628	54.337064808918996	63.49528652868998	74.40795399419102
15000	27.980158401451384	37.08781343174856	45.90894726774383	29.919615959222867	41.19337293529311	50.84887536635917	55.742486653902134	65.15024113993043	75.22625194774834	51.87828913169073	61.519726845353865	73.24493364574683
16000	27.358958068628844	36.13710733706165	44.81544854702205	31.053569183365497	40.257182856172356	49.94839341240802	55.51015854116043	63.467773143213314	73.91666347378009	49.93119059019797	59.35788999357273	70.1428814172184
17000	25.04006478876357	35.24141751696792	43.923372014351585	30.183706399789767	39.657232294530665	49.24055151863312	54.8186956245381	62.88520737605201	72.08991980630657	49.977073890671605	58.81725935165113	69.6772784939482
18000	22.950045104593006	33.19079054030715	43.02367467179699	29.115491763360865	38.2210606241529	47.5064401708623	53.41868199297114	62.200793043815125	71.42005263076696	48.50823238441811	58.95847464302423	70.06844380548014
19000	22.56422632722478	31.511459670207582	41.37524301124111	26.730787109831933	36.557047394364005	45.796825139910084	50.777689611373745	60.540049025615964	70.11522189435172	47.25215972815119	56.63456114114747	67.24812273362318
20000	21.2197804754516	30.51667200378126	39.56203517618643	25.368118620002207	35.58093056347842	45.25743351997343	49.939776952453116	59.02841349242889	67.98714015645767	46.676802080838286	56.18092586939443	66.48655901584527
21000	20.313057153764774	29.55321051492928	37.78214147574789	24.125558145748112	35.32048783654538	44.324958812756705	49.49558041875193	57.06580846364939	66.02252643649177	45.286319725835355	56.029310001035	65.78236306921598
22000	19.1828739385073	28.620593412760076	36.70934680054317	24.023308356380497	35.14172510554065	44.036771668048104	46.36978389721808	56.26235594517698	65.85905959027706	44.83484747045469	55.13444531365296	64.96076094691023
23000	16.94385290246189	27.20595353476027	35.581604402018144	24.546699727419416	33.44769696698401	43.78485284306374	45.344958099106805	54.72810468700848	65.56364855944308	44.79912072394168	54.006908926794885	64.28015842343729
24000	14.544661986219719	24.01831701577965	34.00681680034276	23.903987259236303	32.91487860654725	42.405521621052856	43.942432933942726	52.71063848508372	63.33771398447936	44.605997568025394	52.470529404482754	61.947570407338475
25000	12.95747468348686	22.24871470807378	30.867678597746135	20.751431122526554	32.102647689746725	40.91263563729491	43.763783184333136	52.7980076658113	61.70486493225172	43.30625924870047	51.26209729039037	59.53874409983298
26000	10.859839750770128	21.489390568111435	29.698741796121077	19.362987685107175	29.354986622007363	39.94233567850428	43.322716112748864	51.90377204158494	60.80733107001694	41.76860893460238	49.9716302529849	59.51483383966964
27000	10.830720069805684	19.801230280228644	28.38018459907132	19.651821939403668	28.904061281667456	40.7270663352797	42.95237930603804	51.58073614039536	59.62985267016478	41.75951135454929	49.73007113317679	59.47076894830021
