0	14.449589248065049	15.534926579973485 89.21346634144463	14.858446118179232 14.645378707174016	56.19852136746013 98.25954262605504	57.72371285450852 49.75856298931046	84.43965794370851
1000	11.39757787821527	11.83009538813409 81.72249826864477	13.213351453582986 13.941530918821803	60.391070090354 86.47073989589526	61.32742099528632 35.48527553457536	83.60384508403338
2000	13.348049542437055	12.446195171725416 79.42705878029459	14.00771659992946 15.32742054447143	59.646970320286805 85.10038901838234	63.18718430685587 35.68700575246645	81.26970834515346
3000	12.937926204770068	11.95153877257937 77.17246679034552	15.581610123818871 15.439173498553657	59.46648241888289 84.68139629440705	64.59610895289707 36.017027158035646	81.44215129155576
4000	13.211868539717685	11.845345698268735 75.35618379766426	15.902448455904048 16.540283516524998	59.6727651371814 83.75627019590478	64.6052951845646 37.1867506470685	81.33516485197244
5000	13.444643236558226	12.37454598550935 72.17568598887185	16.396555025311407 17.4869764417835	59.367638773732516 82.42086900967662	66.02762064770073 37.4370617694943	79.65557130132409
6000	13.561579455820262	12.699089219624751 70.0712849548472	15.991830501793624 18.02181036798909	58.69500080334985 82.41517225666388	66.24417926948266 37.87112279978125	79.38465460214474
7000	11.93934208660706	12.042003747248211 68.16200185286709	15.723975837901095 17.95184056798569	57.923463985286574 81.82836831644865	66.54719281091123 37.27729217520199	79.00826404751187
8000	12.187807978094865	13.447882734839048 65.96514254520106	16.85300379793252 16.975551446513112	57.136114099204136 82.26447689933653	65.85241961426246 36.404620086384014	79.28748765585063
9000	12.72551589678541	13.950170041610845 63.12624438608066	16.99729208423564 18.039197400650842	58.702922241907466 81.97357490846947	65.75157959289807 36.468582916278265	80.04915094644736
10000	13.973158751012985	13.0279262656873 60.99298807678297	17.059526513316424 18.263103951332436	59.9557330553393 81.11856040487537	65.51167155877398 35.97842523577947	79.03328759804889
11000	16.706794885320534	14.2482244153732 57.96948913637321	17.29809518358513 18.4523700607111	60.05041235928377 80.79889565000516	64.0962089529241 36.48707103972693	78.4632343515674
12000	15.375297102481618	15.0360373851267 56.04192846399544	17.965288091634427 19.27700182486391	60.64214148345088 79.73728700707863	64.17518055521157 36.942573509935464	77.74894875675757
13000	14.281097422299132	14.27699649070704 53.53238254234626	17.908657069196288 19.684626491219444	59.18360206252424 79.99107571905142	65.48072767703435 36.38041981789625	78.1848460470135
14000	14.685561589223425	15.839561371688774 51.39116996117197	17.747905274685397 20.0815367556869	59.66278760645997 79.99650389741471	66.56000670128014 36.63706060017729	77.6859652439114
15000	14.691372663794153	15.867883837891132 49.84062330011374	17.669760629393632 21.87069809235418	58.81429244197382 78.04911237771913	67.94278467535428 35.3926644095881	78.217941794641
16000	16.190747961060495	15.24428080165764 47.228667979414695	16.43782913974354 21.69076257704656	59.205006089621286 78.96696841982103	68.29481887155302 34.701604389441705	77.91077300294636
17000	17.30583546706553	14.905805559001585 44.32151471763515	16.33475241743896 21.989218327565123	59.296249634607754 78.65155788620329	68.42116282975783 34.08251878775835	77.43884370340123
18000	17.03158642848262	13.501706804477031 40.970148540159165	16.1565612784184 21.709202171631155	60.09975009337258 79.22482509784706	67.51101402024015 32.622541606648014	77.18580040048123
19000	19.06092165445343	14.7388605286173 38.22676563316865	16.287330737515298 20.264837061842268	59.8718325744285 79.34282261390621	67.0966603250264 33.32648903289849	76.64295215672188
20000	20.48828139819355	13.918653492177672 36.13253204314548	16.060307670946493 20.098001107171932	60.41972486885011 77.8855108784585	67.49026102474086 33.37210724548119	75.95745562594308
21000	17.096296469184786	13.582990268318039 34.744923207792226	15.483048672614904 20.179563656163406	60.38686372721048 77.78653353627453	67.26716162494598 32.84129771914602	75.11181755272331
22000	17.22875363367146	13.328327521486148 32.51247181396844	16.034668013141363 19.413786216838616	59.77114570603586 77.03424107796279	67.3455296564066 33.541778826074115	74.77743702511223
23000	14.651244777308627	16.33540464155446 30.298865449244953	15.858619266977007 20.13213525591283	60.193573405726525 76.66106951928681	67.77736577266722 33.514076110008176	75.35508737974666
24000	24.836564137977465	19.099990487172267 28.20675974797702	16.461705415728744 20.531870984143247	62.341031679942766 77.69951686628883	68.31970923578662 31.831348137227348	76.25950202186215
25000	30.001556782119465	19.776811940841103 26.022143610139217	16.330017076192142 20.600596501476247	63.10518190599235 77.12249689408925	67.75560313991721 33.26182441423791	76.58392863384157
26000	27.188523850386936	22.73445966859377 24.53128146002492	17.44168081326496 20.95265490458813	63.90809799629852 76.95683777599054	68.24679023301749 34.58687891959254	76.42800498831085
27000	28.60177161868515	28.394685120536128 22.980438029449804	17.518908441773377 20.8084805304063	64.48091547683161 77.19154210702224	68.5316408067219 34.67733237933578	75.60628358417355
28000	29.911792565913228	26.87495194444052 21.533008854282322	17.59233316819525 20.40689316916383	63.560844757190324 75.82657271371852	68.52135566194013 36.48878504665006	76.12587239490736
29000	31.24693912029024	25.567264258499208 19.85258527886231	17.291309335935352 20.60195571997769	64.60809763627687 76.66297705845646	68.54694878637376 35.523329277709976	75.68910186935469
30000	37.183944377561595	22.311325780286623 19.27176664455729	17.434662885740934 21.252627146250305	66.27846056485726 77.44448110567546	69.52385718059048 33.69761344047837	75.00258856243268
