0	6.345986127442527	15.74212703235626 88.24336436486313	13.02319102075074 14.795844370008222	59.35004845641874 91.93494958534491	58.47630952465919 47.502342366631346	84.474037116505
1000	13.682340280357698	15.925870561327661 78.97435304956885	15.214144786512012 16.874341095018593	62.00671628272215 83.67694795084921	61.44706827429131 50.50489061311705	85.09200637221858
2000	15.409530288014373	16.34912900017781 77.1280107980696	16.032051481570974 16.972501842578502	64.2591017972207 84.14765780879951	63.398222742144924 52.31189655705003	83.3205699152962
3000	15.34061899382467	16.127727225514562 75.9215276995684	16.35100919459041 17.154297593906385	65.07242665283184 82.48901536742434	63.59609867591594 52.78003215911606	83.1359308956496
4000	16.463282159869873	16.071438419029487 74.02735346999357	16.747876779401743 17.675282945286753	65.23523265700507 81.6791633576812	63.99127971552643 54.006232627814185	82.51973520102048
5000	15.869690834554568	17.11435326708362 71.93118003827381	16.748026342471285 17.75982212171247	65.59910993653169 81.27848448508972	63.59090086765366 56.34713888114737	81.85593825830547
6000	16.324760413415422	18.958041600504753 70.32499078255738	16.663587817081517 18.61803671507808	64.36082621276047 80.23413681891874	63.07197183735428 57.13981870950535	81.79706061833558
7000	16.83060751236302	19.636325204870708 68.66893275983783	16.775545567820085 19.368909413665552	65.57471072459917 80.23324144684928	63.61184057921339 57.91958360791996	81.78167744181788
8000	16.707111104362106	17.155666518127234 65.72858131424137	16.436540008442574 20.170366956768998	66.70092837525111 80.34450772300464	64.37845216359743 56.869827910069354	82.03419704584212
9000	15.255911059724191	16.105014829314293 64.15767247922419	16.9063262704193 20.167642826918094	67.56147687662589 79.92494152599575	64.37655556502756 57.03221019044699	81.08341457988247
10000	16.9498801514351	16.01137163803074 61.804914116909636	16.49687242338914 20.504984566235564	69.05965469960357 79.55442908751881	64.42625573501552 57.357875798684894	80.66693652333683
11000	17.464918160568487	14.985119854974677 60.21008687575367	16.9679601824915 21.23534589463995	68.53894809130144 79.48705655867984	64.03808291868233 57.51515987745072	80.43208248249644
